file_name,min,max,avg,qav,std,ske,kur,p05,p10,p25,p50,p75,p90,int_p25,int_p50,int_p75,cov,dns
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip43.las,1.38,26.98,13.04,206.77,6.06,0.04,2.2,2.84,4.59,8.52,13.03,17.59,21.24,21,44,68,37.1,36.3
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip44.las,1.37,25.39,12.95,221.04,7.31,-0.23,1.6,2.12,2.63,4.61,15.67,18.83,21.69,8,15,29,1.7,1.8
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip45.las,1.37,25.39,11.54,158.99,5.07,0.1,2.53,2.83,4.38,8.06,11.62,15.06,18.02,22,49,88,48.3,45.3
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip46.las,1.37,27.32,14.87,258.74,6.14,-0.34,2.31,3.32,5.84,10.48,15.6,19.62,22.31,23,49,87,54.1,54.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip47.las,1.37,28.88,14.11,240.87,6.45,-0.42,2.27,2.33,3.32,10.17,15.23,18.86,21.9,31,55,77,30.0,31.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip48.las,1.38,26.59,13.51,205.92,4.84,-0.22,2.89,4.25,6.57,10.71,13.75,16.72,19.55,25,48,70,52.5,46.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip49.las,1.37,13.53,5.95,40.82,2.32,0.18,2.46,2.23,2.81,4.2,5.91,7.61,9.03,37,53,67,53.4,44.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip5.las,1.37,29.73,11.65,164.56,5.36,0.48,3.18,3.41,4.77,7.71,11.39,14.82,18.83,35,60,83,54.2,49.1
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip50.las,1.37,29.61,9.33,116.53,5.42,0.77,3.35,2,2.68,5.17,8.57,12.68,16.7,14,35,61,59.5,50.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip51.las,1.37,29.14,13.42,237.73,7.6,-0.15,1.7,1.96,2.46,5.94,14.72,19.87,22.77,32,60,92,43.2,42.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip52.las,1.37,24.56,11.56,158.04,4.94,-0.23,2.39,2.43,4.2,8.31,12.11,15.13,17.63,32,59,87,43.8,42.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip53.las,1.37,28.1,11.43,183.23,7.25,0.3,1.78,1.97,2.54,4.86,10.48,17.73,21.84,25,53,83,78.3,74.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip54.las,1.37,23,6.77,80.81,5.91,1.14,2.72,1.8,2.07,2.71,3.81,11.64,17.17,42,64,92,77.5,68.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip55.las,1.37,26.34,13.8,222.44,5.65,-0.37,2.36,3.22,5.18,10.14,14.52,18.11,20.92,21,47,69,50.7,47.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip56.las,1.37,29.18,15.77,287.94,6.25,-0.48,2.62,2.39,6.81,12.08,16.27,20.83,23.29,27,55,83,46.6,45.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip57.las,1.37,34.07,11.86,200.13,7.71,0.15,1.7,2.09,2.58,3.88,12.92,18.48,21.48,36,61,92,71.3,64.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip58.las,1.37,20.25,7.86,72.69,3.3,0.23,3,2.23,3.25,5.69,7.87,9.93,11.98,42,70,99,69.3,58.8
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip59.las,1.37,20.12,10.23,118.43,3.72,-0.2,2.5,3.5,4.95,7.68,10.52,12.88,14.96,40,72,99,48.1,44.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip6.las,1.48,22.7,11.43,161.05,5.51,0.22,1.94,3.34,4.18,7.08,10.75,15.73,19.64,34,59,87,13.8,16.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip60.las,1.37,28.19,11.54,160.77,5.25,0.14,2.59,2.92,4.14,7.68,11.81,15.08,18.27,30,60,98,56.8,53.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip61.las,1.37,24.84,9.6,116.15,4.9,0.74,3.1,2.97,3.86,5.79,8.9,12.65,16.29,39,76,105,44.9,44.1
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip62.las,1.37,34.54,20.19,455.3,6.89,-0.7,3.58,4.43,11.7,16.39,20.85,24.78,28.23,22,46,66,30.2,32.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip63.las,1.37,29.54,12.25,178.22,5.3,0.38,3.34,2.79,5.72,8.97,12.15,15.01,19.15,37,62,83,61.6,54.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip64.las,1.39,22.41,13.37,192.41,3.71,-0.57,3.18,6.5,8.31,11.13,13.89,15.99,17.71,26,55,98,70.5,55.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip65.las,1.37,25.06,11.26,167.23,6.36,0.19,1.76,2.5,3.13,5.27,10.73,17.06,19.93,37,70,98,62.0,57.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip66.las,1.41,18.57,9.63,105.03,3.52,-0.21,2.35,3.33,4.6,7.1,9.89,12.35,14.01,38,60,87,40.6,38.4
